분류,질문,답변
차량정비,각종 소모품 교환 비용이 궁금합니다.,"소모성 부품(오일류 및 주요 소모품 등)은 여러 가지 상황을 고려하여 변동될 수 있습니다.
가격이 상승한다면 홈페이지를 통해 확인하실 수 있으니 참고해 주시기 바랍니다.

☞ 모바일 : KGM 홈페이지(kg-mobility.com) → 오른쪽 상단의 3줄 전체메뉴 → KGM 서비스 → 서비스 프로그램
  → 서비스 프로그램 글씨 옆 ∨ 터치 → 오픈 프라이스 터치 → 화면 아래 [소모품 가격 확인하기 ＞] 버튼 터치
☞ PC : KGM 홈페이지(kg-mobility.com) → 고객 서비스 → KGM 서비스 → 서비스 프로그램
  → 서비스 프로그램 글씨 옆 ∨ 클릭 → 오픈 프라이스 클릭 → 화면 아래 [소모품 가격 확인하기 ＞] 버튼 클릭"
차량정비,KGM LINK(구. 인포콘/INFOCONN) 서비스가 무엇인가요?,"KGM LINK(KGM 링크)는 KG모빌리티가 제공하는 커넥티드 카 서비스 브랜드이며,
2020년 인포콘(INFOCONN)이라는 명칭으로 서비스를 시작 후,
향상된 서비스를 제공하며 2025. 3월 KGM LINK로 명칭을 변경하였습니다.

원격 시동, 원격 공조 제어, 전기차 전용 배터리 충전 등의 원격 기능, 주차 위치 찾기 등의 편의 기능, 차량 상태 확인, 월간 리포트 등의 차량 관리 서비스 등을 제공하고 있습니다.

특히 에어백 전개 시 등 위급 상황에서 KGM LINK 상담센터 통해 긴급 구조 및 사고 처리를 위한 적절한 조치를 받으실 수 있도록 도와드리고 있습니다.

이러한 KGM LINK 서비스에 대해 가입 및 사용 방법 등 자세한 사항은 KGM LINK 홈페이지 또는 KGM LINK 상담센터 통해 확인하실 수 있습니다.

☞ KGM LINK 서비스 홈페이지 : https://kgmlink.kg-mobility.com/
☞ KGM LINK 상담센터 ☎ 1522 - 8877 또는 080-500-5582/ 내선번호 3번


※ KGM 블로그 참고 : 커넥티드-카 바로가기 및 인포콘 바로가기"
차량정비,"토레스 차량 블루투스 통화할 때 볼륨을 높였는데, 재통화할 때 다시 줄어들어 들어요. 점검받아야 하나요?","토레스 차량의 기본으로 정해진 볼륨 크기는 10으로 되어 있습니다.
그렇기에 블루투스 통화하실 때 볼륨을 10보다 크거나 작게 조절했어도 통화 종료 후 재통화할때는 기본값인 10으로 돌아가고, 이는 정상적인 현상입니다."
차량정비,교환 받은 부품의 재보증 기간은 어떻게 되나요?,"수리한 동일 부품에 이상 현상이 발생하는 경우 자동차관리법에 의거하여 수일로부터 최대 90일의 재보증 기간이 적용됩니다.
다만 KG모빌리티에서는 수리일로부터 1년 이내 2만km까지 재보증 기간을 적용해 드리고 있는 점 참고해 주시기 바랍니다.
※ 자동차관리법 134조 2항. 점검ㆍ정비의 잘못으로 인하여 다음 각 목의 구분에 따른 기간에 발생하는 고장 등에 대한 무상점검ㆍ정비
가. 차령 1년 미만 또는 주행거리 2만km 이내의 자동차 : 점검ㆍ정비일부터 90일 이내
    나. 차령 3년 미만 또는 주행거리 6만km 이내의 자동차 : 점검ㆍ정비일부터 60일 이내
    다. 차령 3년 이상 또는 주행거리 6만km 이상의 자동차 : 점검ㆍ정비일부터 30일 이내
※ 보험 수리, 소모품(예. 에어컨 필터), 오일류(예. 엔진오일), 휠얼라이먼트는 재보증제외 되는 점 참고해 주시기 바랍니다."
차량정비,서비스 네트워크마다 정비 비용이 상이할 수 있나요?,"KG모빌리티 본사에서는 표준 공임비를 제시하고 있으며, 각 서비스 네트워크마다 수리 시 이를 참고하여 실제 정비 비용을 청구하고 있습니다.
표준 공임이란 : 해당 작업을 3회 정도 해 본 작업자가 차량을 리프트에 올리고 차량 문제점을 확인하여, 필요한 부품을 가져와서 정비한 후, 정비 유효성(시운전 포함)을 검증하는 시간 등을 모두 합산하여 책정하고 있습니다.
다만 당사의 모든 서비스 네트워크에서 동일한 정비 비용을 받을 경우 공정거래위원회에서 담합으로 판단할 수 있습니다.
이에 각 서비스 네트워크에서는 표준 공임을 토대로 작업의 난이도와 실제 작업시간 등에 따라 고객님께 안내해 드린 후 공임비용을 가감하여 청구할 수 있으니 참고하시기 바랍니다."
부품,2열 주차(이중 주차)하고 싶어요.,"※ 2열 주차(이중 주차) 시 차량이 움직여 사고가 발생될 수 있습니다. 
※ 반드시 경사가 없는 평지에서 사용하시고, 바퀴에 고임목을 설치해 주시기 바랍니다.
☞ 올 뉴 렉스턴 (20.11월~), 렉스턴 뉴 아레나 (23.05월~) / 전자식 기어 레버 적용
☞ 코란도 이모션
※ 참고 :https://www.youtube.com/shorts/TukUsmh0VDU
1.  엔진 시동 상태에서 AUTO HOLD 기능을 해제하기 위해
  AUTO HOLD 스위치를 눌러 계기판의 AUTO HOLD 표시등을 소등시킵니다.
2.  엔진 시동 상태에서 EPB 스위치를 눌러 주차 브레이크를 해제하십시오.
  ※ 기어레버 뒤쪽 맨 오른쪽 AUTO HOLD 스위치 / 가운데 EPB 스위치 (ⓟ) 버튼
3.  기어레버 P 위치에서 브레이크 페달를 밟은 상태로 시동을 끄십시오.
4. 시동 끄고 30초 이내에 브레이크 페달을 밟고 P 릴리즈 버튼을 누르십시오.
<이모션>
☞ G4 렉스턴
1. 엔진 시동 상태에서 AUTO HOLD 기능을 해제하기 위해 기어레버 뒤쪽 AUTO HOLD 스위치를 눌러
계기판의  AUTO HOLD 표시등을 소등시킵니다.
2. 엔진 시동 상태에서 EPB 스위치를 눌러 주차 브레이크를 해제하십시오.
※ AUTO HOLD 스위치 : 기어레버 우측 버튼 / EPB 스위치 : 기어레버 좌측 (ⓟ) 버튼
3. 기어레버 P 위치에서 브레이크 페달를 밟은 상태로 시동을 끄십시오.
4. 시동이 꺼진 상태에서 브레이크 페달을 밟고 스마트키의 비상키를 이용하여
기어레버 고정해제 버튼을 누르고 N 위치로 이동해 주시기 바랍니다.
※ EPB 미적용된 렉스턴 스포츠/ 칸 (쿨멘 포함)의 경우, 3, 4번 단계만 진행하시면 됩니다.
  ▷ 참고 : https://www.youtube.com/shorts/Q4vg_RTZuYU
☞ 토레스
1. 시동이 걸린 상태에서AUTO HOLD 기능을 해제하기 위해 컨트롤 패널의 AUTO HOLD 스위치를 터치하여 AUTO HOLD 표시등을 소등시킵니다.
※ AUTO HOLD 스위치: 컨트롤 패널 상단의 바로가기 중 AUTO HOLD 또는 공조 화면에서 화면을 좌/우로 스와이프하여 차량 설정 스위치 화면에서 AUTO HOLD 스위치를 확인하실 수 있습니다.
2. 운전석 윈도우쪽 송풍구 아래의 EPB 스위치를 눌러 주차 브레이크를 해제하십시오.
3. 기어레버 P 위치에서 브레이크 페달를 밟은 상태로 시동을 끄십시오.
※  변속기 선택 레버 P(주차) 위치 이외에서는 차량 전원이 OFF 되지 않습니다.
4. 브레이크 페달을 밟고 선택 레버 고정 해제 버튼을 손가락으로 누르고, 기어레버 앞면의 노브 버튼을 누르면서 N 위치로 이동해 주십시오.
☞ 더 뉴 토레스 (2024. 5월 이후 전자식 변속레버 적용 차량)
 액티언 (2024. 8월 이후)
※ 참고 :https://www.youtube.com/shorts/yoefML30EEU
1. 시동이 걸린 상태에서 오토홀드(AUTO HOLD)를 해제해 주십시오.
(하이퍼바이저 왼쪽 계기판의 AUTO HOLD 표시등 소등되었는지 꼭 확인해 주시기 바랍니다)
※ 오토 홀드 스위치 (해제 시 해당 버튼 및 계기판 표시등 소등)
⑴ 내비게이션 화면 맨 위 가운데 부분 탭을 아래로 드래그해서 표시되는 슬라이드 메뉴의 오토 홀드(AUTO HOLD) 버튼 터치
⑵ 내비게이션 화면 왼쪽 공조버튼(선풍기 날개 모양) 버튼 → 바로 오른쪽 위 Vehicle  글씨 터치 → 오른쪽 화면의 오토 홀드(AUTO HOLD) 버튼 터치
<또는>
< 액티언 : 핸들 오른쪽 아래 오토홀드(AUTO HOLD) 버튼 >
2.  기어레버 P 위치에서 브레이크 페달를 밟은 상태로 시동을 끄십시오.
3. 시동을 끄고 30초 이내에, 브레이크 페달을 밟은 상태에서 전자식 변속 레버를 전면유리 방향으로 약 3초간 밀어주십시오.
4. 전자식 변속 레버 표시창에서 N 위치로 변경되었는지 확인해 주십시오.
※ 이중 주차 상태에서 도어를 열었거나 인포콘 앱 이용하여 공조 장치나 전기 장치가 작동되면
P단으로 변경되므로, 위 단계를 다시 진행해 주셔야 합니다.
☞ 토레스 EVX
※ 참고 :https://www.youtube.com/shorts/HlrDjRN2_2A
1. 시동이 걸린 상태에서 오토홀드(AUTO HOLD)를 해제해 주십시오.
(하이퍼바이저 왼쪽 계기판의 AUTO HOLD 표시등 소등되었는지 꼭 확인해 주시기 바랍니다)
※ 오토 홀드 스위치 (해제 시 해당 버튼 및 계기판 표시등 소등 / 더 뉴 토레스 이미지 참고)
⑴ 내비게이션 화면 맨 위 가운데 부분 탭을 아래로 드래그해서 표시되는 슬라이드 메뉴의 오토 홀드(AUTO HOLD) 버튼 터치
⑵ 내비게이션 화면 왼쪽 공조버튼(선풍기 날개 모양) 버튼 → 바로 오른쪽 위 Vehicle  글씨 터치 → 오른쪽 화면의 오토 홀드(AUTO HOLD) 버튼 터치
2. 시동 스위치를 길게 눌러 시동을 끄십시오. (시동 버튼에 점등된 표시가 없어야 합니다)
3.  브레이크 페달을밟지 않고, 시동 스위치를 2회 눌러 시동 스위치 적색 ON 상태로 변경해 주십시오.
4.  브레이크 페달을 밟은 상태에서 변속 레버를 N 방향(전방) 또는 D 방향(후방)으로 짧게 밀어
N(중립) 상태를 확인해주십시오. (★ N단 진입 시 EPB가 해제됩니다)
5. 시동 스위치를 길게 눌러 다시 시동를 꺼주십시오.
※ 이중 주차 상태에서 도어를 열었거나 인포콘 앱 이용하여 공조 장치나 전기 장치가 작동되면
  P단으로 변경되므로, 위 단계를 다시 진행해 주셔야 합니다.
☞ 코란도 EV (2024. 6월 이후 출고)
※ 참고 :https://www.youtube.com/shorts/mbhGSoidlvg
① 시동 상태에서 기어레버 뒤쪽의 AUTO HOLD(오토 홀드) 스위치를 눌러 오토 홀드를 해제하십시오.
② 브레이크 페달을 밟고 시동을 끄십시오. (시동 버튼에 점등된 표시가 없어야 합니다)
③ 브레이크 페달을밟지 않고시동 버튼을 2번 눌러 주십시오. (적색 ON 점등되는 키 ON 상태)
④ 브레이크 페달을 밟은 상태에서 기어레버를 전면유리 쪽으로 짧게 밀어 N으로 변경되었는지 확인해 주십시오.
(★ N단 진입 시 EPB가 해제됩니다)
⑤ N(중립 상태) 확인되면 시동을 끄십시오.
※ 이중 주차 상태에서 도어를 열었거나 인포콘 앱 이용하여 공조 장치나 전기 장치가 작동되면
  P단으로 변경되므로, 위 단계를 다시 진행해 주셔야 합니다.
☞ 코란도 (EPB 적용 차량)
※ 참고 :https://www.youtube.com/shorts/-yge0VWMqaA
1. 엔진 시동 상태에서 AUTO HOLD 기능을 해제하기 위해
AUTO HOLD 스위치를 눌러 계기판의 AUTO HOLD 표시등을 소등시킵니다.
2. 엔진 시동 상태에서 EPB 스위치를 눌러 주차 브레이크를 해제하십시오.
※ 기어레버 뒤쪽 동그란 드라이브모드 스위치의 오른쪽 : AUTO HOLD 스위치 / 왼쪽 : EPB 스위치 (ⓟ) 버튼
3. 기어레버 P 위치에서 브레이크 페달를 밟은 상태로 시동을 끄십시오.
4. 시동이 꺼진 상태에서 브레이크 페달을 밟고 선택 레버 고정 해제 버튼을 손가락으로 누른 후 N(중립) 위치로 이동시키십시오.
  (선택 레버 이동시 노브 버튼을 누르십시오.)
※ EPB 미적용된 코란도/티볼리/티볼리 에어의 경우, 3, 4번 단계만 진행하시면 됩니다.
  ▷ 참고:https://www.youtube.com/shorts/BebwD5depm4
☞ 체어맨W / 카이저
1. 엔진 시동 상태에서 브레이크 페달을 밟고 기어레버를 N으로 이동하십시오.
2. 엔진 시동 상태에서 브레이크 페달을 밟은 채로 EPB 스위치를 아래로 누른 후
5초 이내에 시동 버튼을 길게 눌러 시동을 끄십시오.
※ EPB 스위치 : 운전석과 동반석 사이 암레이트 스위치 중 (ⓟ) 버튼
☞ 뉴체어맨 (2003.10월~2007.12월) / 로디우스
1. 엔진 시동 상태에서 브레이크 페달을 밟고 기어레버를 N으로 이동하십시오.
2. 엔진 시동 상태에서  브레이크 페달을 밟은 채로 EPB 스위치의 OFF 부분을 누른 후
3초 이내에 시동키를 탈거해 주십시오.
<뉴체어맨>                                  <로디우스>
센터페시아 비상경고등 좌측                기어레버 좌측 (ⓟ) ON/OFF 스위치
(ⓟ) ON/OFF 스위치
☞ 렉스턴2 / 렉스턴2 유로 / 슈퍼렉스턴 중 EPB 적용 차량
1. 엔진 시동 상태에서 브레이크 페달을 밟고 기어레버를 N으로 이동하십시오.
2. 엔진 시동 상태에서 브레이크 페달을 밟은 채로 EPB 스위치를 아래로 누른 후
5초 이내에 시동키를 탈거해 주십시오.
※ EPB 스위치 : 기어레버 하단부 (ⓟ) 버튼"
부품,디지털 스마트키가 무엇인가요?,"디지털 스마트키란, 실물 스마트 키가 없어도 핸드폰만 있으면 시동을 걸 수 있는 기능입니다.
※ 토레스 EVX의 디지털 키(카드키 및 핸드폰 NFC키)와는 다릅니다.
핸드폰에 앱(아차키) 설치 후 최대 5명까지 차량 키를 공유할 수 있으며, 핸드폰을 가지고 자동으로 도어 잠금이 해제되거나 도어 잠금되는 기능 등 여러 부가 기능이 제공됩니다. 그리고 함께 제공되는 발렛키를 이용하여, 발렛 파킹이나 차량 정비 시 스마트키나 핸드폰을 건네주지 않아도 시동을 걸 수 있습니다.
이러한 디지털 스마트키 기능은, 2021.08월 이후 올 뉴 렉스턴 차종, 티볼리/에어 차종, 토레스 차종의 일부 등급에 기본 적용되어 있으며, KGM의 순정용품몰에서 판매하고 있어 추가 장착도 가능합니다. (토레스 EVX 제외됩니다)
KGM의 순정용품몰에서 [디지털 차키]로 검색하시거나 디지털 스마트키 고객센터 통해 디지털 스마트키에 대해 자세히 확인하실 수 있습니다.
☞ KG모빌리티 순정용품 쇼핑몰(밧모인터내셔날):  http://mall.kg-mobility.com(☎ 02 - 2245 - 7893)
☞ 디지털 스마트키(아차키) 고객센터 ☎ 1811 - 8136
※ 토레스 EVX의 디지털 키 등록 문의는 인포콘 상담센터 ☎ 080-500-5582 / 3번 연결로,
고장 시 고객센터 ☎ 080-500-5582 / 4번 연결하여 문의해 주십시오."
부품,차량 부품 가격 및 소모품 구매에 대해 문의는 어디로 하나요?,"KG모빌리티 부품대리점 또는 정비사업소 자재과를 방문하셔서 문의 및 신청해 주시면 부품을 구매하실 수 있습니다.
또한, 부품 구매나 가격, 재고 등 부품 관련 문의는 전문적인 상담을 드릴 수 있도록 부품상담실을 별도로 운영하고 있습니다.
☞ 부품상담실 ☎ 080-500-5582 (2번 연결)
지역별 부품대리점의 주소나 연락처, 약도 등은, 홈페이지 → 화면 상단 서비스 → 네트워크 → 부품대리점 클릭 → 지역 선택 후 검색 버튼 클릭 후 확인하실 수 있습니다.
※ FAQ 내에서 [EPC 시스템]을 조회하시면 부품 조회 방법에 대해 자세히 확인하실 수 있습니다."
부품,부품의 구입방법이 궁금합니다.,"KG모빌리티 부품대리점 또는 정비사업소 자재과를 방문하시어 문의 및 신청해 주시면 구입이가능합니다.
 
각 지역별 부품대리점 현황은 당사 홈페이지 → 리멤버서비스 → 네트워크→ 부품대리점에서 연락처, 주소 및 약도를 확인할 수 있습니다."
부품,디지털 키가 무엇인가요?,"디지털 키란, 스마트키를 지참하지 않고 휴대폰 또는 카드키만으로 도어 잠금/해제 및 시동을 걸어 운행할 수 있는 기능입니다.
적용 차종: 토레스 EVX, 2024. 5월 이후 더뉴 토레스, 액티언 차량
KGM 링크 서비스 가입 후 휴대폰의 KGM 링크 앱에 로그인하시고,
KGM 링크 앱에서 디지털 키와 KGM 링크 서비스 등록하신 후,
휴대폰의 NFC 기능이나 카드키 등록하여 이용하실 수 있습니다.
☞ KGM 링크 상담센터 ☎ 1522-8877 (또는) ☎ 080-500-5582 / 3번 KGM 링크 상담실 연결
※ 서비스 가입 및 취급 문의 상담 시간 : 평일 09:00~18:00
※ 긴급출동 및 에어백 전개 알림 상담은 24시간 운영됩니다."
부품,순정 용품에 대해서 알고 싶습니다.,"완성차의 스타일 극대화 및 기능 향상 등 다양한 고객님들의 Needs를 충족시키기 위해 KG모빌리티에서 직접 개발하거나 협력 업체를 통하여 개발/조달하여 소비자에게 판매하는 제품입니다.
※ 순정 부품과는 보증기간과 보증 업체 등의 차이가 있으며, 가격표 상 선택 옵션 사양 일부와 커스터마이징 등이 이에 해당합니다."
부품,KG모빌리티 순정 부품 확인방법이 궁금합니다.,"소모성 부품을 위주로 규격 부품에는 홀로그램을 부착하고 있으며,  규정 부품을 구입하실 때는 홀로그램 및 KG모빌리티의 로고가 인쇄된 포장박스를 확인하시기 바랍니다."
부품,"중앙차선유지보조(CLKA) 기능으로 작동하도록 설정해 놓았는데, 재시동하면 기능이 꺼집니다.","중앙차선유지보조(CLKA) 기능 작동 관련하여 2022년 1월부터 관련 법규가 운행 중 필요 시 작동시키도록 개정되어서,
2022년 1월 이후 생산된 차량은 시동을 켜면 항상 CLKA 기능이 꺼진 상태가 됩니다.
그래서 시동이 걸린 후 운전석 도어쪽 송풍구 아래의 작동 스위치를 눌러 중앙차선유지보조 기능을 작동시켜야 합니다. (토레스 차종은 핸들 왼쪽 아래에 차선유지보조 작동 버튼이 있습니다)
그러나 차선유지보조(LKA)와 차선이탈경고(LDW) 기능은 작동 상태로 시동을 껐다가 재시동해도 계속 작동하므로, 계기판 사용자 설정의 주행보조 설정 메뉴 중 차선유지보조 항목에서 LDW/LKA/CLKA 중에서 LKA 또는 LDW로 선택해 주시기 바랍니다.
※ 토레스 차종은, LDW/LKA 기능과 CLKA 기능이 개별적으로 작동합니다.
이에 핸들 왼쪽에 차선유지보조 작동 버튼을 길게 누르면 계기판에 차선유지보조 표시등이 점등/소등됩니다. 그리고 핸들 왼쪽에 작동 버튼을 짧게 누르면 CLKA가 작동하며, 계기판에 별도로 중앙차선유지보조 표시등이 점등됩니다."
부품,하자 부품 교환 절차를 알고 싶습니다.,"▶ 하자품에 관한 보증기간은 당사에서 부품대리점에 공급한 날로부터 6개월로 하며,  대리점에서 고객에게 판매한 날로부터 3개월로 규정되어 있습니다.
 
※2013.06.1日이후 소비자에게 판매한 부품의 경우 판매한 날로부터 12개월 이내 또는 주행거리 20,000km 미만에서 하자가 발생한 부품에 적용한다.(단, 육안으로 결함 여부 확인이 가능한 파손품, 이종품, 불량품은 판매한 날로 부터 7일 이내로 한다.) 
▶ 하자 처리절차
1)당사에서 공급부품 여부 확인
2)부품대리점에서 판매 여부 확인
3)고객이 취급 미숙 또는 관리 허술 여부 확인
4)교환 또는 거부 조치
5)교환 수거된 하자 부품은 수거 후 3일 이내에 관할 부품센터로 당사가 정하는 부품하자 조치의뢰서를 작성 통보 후 교환됩니다."
부품,"이모빌라이저 리모콘 키 경우 충전식과 배터리식 각 1개가 지급되는데, 구분 방법과 배터리 사양이 궁금합니다.","이모빌라이저 리모콘 키의 충전식과 배터리식 구분 방법 및 배터리 사양은 아래와 같습니다.
① 충전식
회색 라벨 부착,  배터리사양: PD 2032
② 배터리 교환식
보라색(파란색) 라벨 부착,  배터리사양: CR 2032
다만, 라벨이 떨어져서 확인이 어려울 경우 리모컨 케이스를 탈거 후 초록색 기판 왼쪽에 흰색 플라스틱이 있다면 충전식이며 플라스틱이 없다면 배터리식입니다."
기타,"차량 취급설명서를 구하고 싶은데, 어떻게 해야 하나요.","① 취급설명서 책자 구입 관련 문의처 : 도서출판 서경문화(서울시 중구 묵정동 29-26 보성빌딩) ☎ 02) 2272 - 7003

② 공식 홈페이지 이용 시 (pdf 파일 다운로드) :
☞ PC : KGM 홈페이지 (www.kg-mobility.com) → 고객 서비스 → 차량 운영 지원 → 취급설명서
          → 취급설명서 또는 A/V 설명서 글씨 클릭
☞ 모바일 : KGM 홈페이지 (kg-mobility.com) → 오른쪽 상단의 3줄 전체메뉴 → 고객 서비스
               → 차량 운영 지원 → 취급설명서 → 취급설명서 또는 A/V 설명서 글씨 클릭

※ 차종 확인 시 액티언 등의 차종명 옆의 ∨ 눌러 차종 및 시기 선택하시면 됩니다."
기타,엔진오일의 기능에 대해 궁금합니다.,"자동차 소모품 중 대표적인 것이 바로 엔진오일입니다.
 
자동차의 심장인 엔진에 들어가는 엔진오일의 기능은 윤활과 냉각, 방청, 청정, 밀봉, 완충 등의 다양한 기능을 수행합니다.
 
따라서 엔진 온도가 올라가면 점도는 떨어지고(묽어지는 현상) 점도가 낮으면 오일이 엔진 전체에 고르게 퍼지는 대신 윤활과 완충작용 기능이 떨어져 소음이나 마찰열에 대한 대응이 잘 이뤄지지 않을 수 있으며, 반면 점도가 높으면 유막이 두꺼워져 마찰열을 줄여주지만 유막이 고루 퍼지지 않아 저항이 커지고 시동이 어려워집니다.
 
엔진오일의 점도는 포장재에 표시되어 있으며 보통 SAE 뒤에 20, 30, 40 같은 숫자가 붙는데 숫자가 클수록 점도가 높고 고온에서 사용하는데 적합합니다.
 
그러나 여름과 겨울에 각각 다른 점도의 오일을 사용하는 불편하기 때문에 요즘에는 4계절용이 판매되기도 합니다.
 
4계절용은 어떠한 기온에서도 일정한 점도를 유지할 수 있도록 오일에 첨가제를 넣은 것으로 SAE 5W-30처럼 ‘SAE ○W-○’로 표시합니다.
여기서 W는 겨울(윈터)의 첫글자이고 W앞의 숫자는 오일이 식었을 때의 점도를,  뒤에 있는 숫자는 작동 온도에서의 점도를 표시한 것 입니다.
 
즉  W 앞의 숫자가 낮을수록 추운 곳에서 잘 견디고, 뒤의 숫자가 높을수록 높은 온도에서 점성이 좋다는 뜻이기도 합니다."
기타,뷰티풀 코란도와 베리 뉴 티볼리의 딥 컨트롤(Deep Control)이 무엇인가요?,"딥 컨트롤(Deep Control)은 레이더와 카메라를 통해 주변 상황을 완벽하게 스캐닝하여 차량을 제어하는 최첨단 자율주행 시스템입니다.
이러한 딥 컨트롤 시스템에는 다음과 같은 기능이 포함되어 있습니다.
①인텔리전트 어댑티브 크루즈 컨트롤 (IACC: Intelligent Adaptive Cruise Control) : 차량 속도와 앞차와의 거리를 설정해 놓으면 자동으로 감속/가속/조향까지 제어하는 기능
②탑승객 하차 보조 (SEW: Safety Exit Warning = EAF: Exit Assist Function) : 하차 시 후측방으로 차량 접근하는 경우 경고 표시 및 경보음 발생
③안전거리 경보(SDA/Safety Distance Alert) : 운행 속도 대비 전방 안전거리 미확보 시 경보 발생
④앞차 출발 알림 (FVSW: Front Vehicle Start Warning = FVSA: Front Vehicle Start Alert) : 정차 중 앞차 출발 시 팝업과 경고음 발생
⑤후측방 접근 충돌 방지 보조 (RCTA: Rear Cross Traffic-collision Assist = RCTAi: Rear Cross Traffic Alert Intervention) : 후측방으로 접근하는 차량과의 충돌 위험이 예상될 때 긴급 제동
⑥후측방 접근 경고 (RCTW: Rear Cross Traffic Warning = RCTA: Rear Cross Traffic Alert) : 주차 등 후진 시 후측방으로 접근하는 물체나 차량이 감지되면 위험을 경고
⑦전방 추돌 경보 시스템 (FCW= FCWS: Forward Collision Warning System) 및 ⑧긴급 제동 보조 시스템(AEB= AEBS: Autonomous Emergency Braking System) : 주행 중 전방 차량과의 충돌이 예상되는 경우 경보음 발생 및 충돌을 완화시킬 수 있도록 제동 보조
⑨차선 이탈경보 시스템 (LDW= LDWS: Lane Departure Warning System) 및 ⑩차선 유지보조 시스템 (LKA= LKAS: lane Keeping Assist System) : 방향지시등 작동하지 않은 상태로 차선을 밟거나 이탈하려고 할 때 경고음 발생 및 EPS 기능의 도움을 받아 조향 제어
⑪스마트 하이빔 (SHB: Smart High Beam = HBA: High Beam Assist) : 앞 차량의 미등, 맞은편 차량의 전조등, 주변 밝기를 감지하여 자동을 상향등이나 하향등으로 자동 전환
⑫사각지대 감지 시스템 (BSW: Blind Spot-detection Warning = BSD: Blind Spot Detection) : 후방의 사각지대에 차량이 감지되면 아웃사이드 미러에 경고등 점등
⑬차선변경 경보 시스템 (LCW: Lane Change Warning = LCA: Lane Change Assist) : 차선 변경 시 후방에서 빠른 속도로 접근하는 차량을 감지하면 아웃사이드 미러에 경고등 점멸 및 경보음 발생
⑭고속도로 안전속도 제어(SSA: Safety Speed Assist= NICC: Navigation Intergrated Cruise Control) : 고속도로 주행 시 내비게이션의 단속 카메라 정보와 차선 중심 추종 제어를 통해 고속도로 주행 보조 기능
⑮부주의 운전경보 시스템 (DAW: Driver Attention Warning = DAA: Driver Attention Alert) : 차량 주행 패턴과 전방 카메라에 수집된 정보를 분석하여 주의 운전 레벨 및 경고 표시
※ KG모빌리티 블로그 참고
☞https://allways.kg-mobility.com/딥컨트롤로-완성하는-자율주행의-미래/
☞https://allways.kg-mobility.com/초보운전-장롱면허-운전가-걱정-끝-뷰티풀-코란도가/"
기타,긴급출동에 대해 알려주세요.,"긴급출동이란, 차량 운행이 불가능하거나 운행 시 위험하다고 판단될 경우 현장에서 응급 조치 또는 견인 조치 요청하는 서비스입니다.
 
차량 보증기간 이내에 발생한 품질문제일 경우 무료로 운영되며, 보증기간 경과되었거나 고객님 귀책이 있을 경우에는 출동비(주간: 10,000원, 야간 및 공휴일: 15,000원)가 부과됩니다.
 
그리고 평일 오후 5시 30분~익일 8시 30분까지, 토요일 오후 12시 30분 이후, 공휴일 및 일요일의 경우 아래 7가지 사항만 조치 가능하며, 삼성 애니카에서 출동 나가는 점 참고해 주시기 바랍니다.
 
1) 도어 잠김
2) 배터리 방전으로 인한 점핑
3) 타이어 펑크/파스
4) 연료 부족으로 인한 주유
5) 견인
6) 차량 구난
7) 스마트 키, 이모빌라이저 키 등 코딩이 필요한 경우
 
☞ 수신자 부담 전화번호 ☎ 080-500-5582, 안내음성 시 1번 연결"
